,0,1,2,3,4,Xt
503,124.629,130.232,122.417,106.412,88.646,104.498
504,130.232,122.417,106.412,88.646,104.498,126.28
505,122.417,106.412,88.646,104.498,126.28,140.283
506,106.412,88.646,104.498,126.28,140.283,135.156
507,88.646,104.498,126.28,140.283,135.156,118.653
508,104.498,126.28,140.283,135.156,118.653,98.469
509,126.28,140.283,135.156,118.653,98.469,90.263
510,140.283,135.156,118.653,98.469,90.263,91.658
511,135.156,118.653,98.469,90.263,91.658,113.495
512,118.653,98.469,90.263,91.658,113.495,92.416
513,98.469,90.263,91.658,113.495,92.416,72.84
514,90.263,91.658,113.495,92.416,72.84,71.41
515,91.658,113.495,92.416,72.84,71.41,82.51
516,113.495,92.416,72.84,71.41,82.51,115.772
517,92.416,72.84,71.41,82.51,115.772,135.958
